fleet_id,month,risk_score,risk_tier,anomaly_score,anomaly_flag,top_risk_driver
FLT-0006,2025-10-01,76.37,High,0.0678,False,loss_ratio
FLT-0006,2025-11-01,38.61,Medium,0.0818,False,route_complexity
FLT-0006,2025-12-01,20.73,Low,0.1163,False,route_complexity
FLT-0007,2024-01-01,24.36,Low,0.1219,False,route_complexity
FLT-0007,2024-02-01,23.46,Low,0.1378,False,route_complexity
FLT-0007,2024-03-01,24.05,Low,0.1409,False,route_complexity
FLT-0007,2024-04-01,21.38,Low,0.1345,False,route_complexity
FLT-0007,2024-05-01,24.29,Low,0.1368,False,route_complexity
FLT-0007,2024-06-01,23.67,Low,0.1554,False,route_complexity
FLT-0007,2024-07-01,25.58,Low,0.1266,False,route_complexity
FLT-0007,2024-08-01,23.15,Low,0.1357,False,route_complexity
FLT-0007,2024-09-01,26.31,Low,0.123,False,route_complexity
FLT-0007,2024-10-01,23.66,Low,0.1297,False,route_complexity
FLT-0007,2024-11-01,24.33,Low,0.1274,False,route_complexity
FLT-0007,2024-12-01,23.72,Low,0.1242,False,route_complexity
FLT-0007,2025-01-01,89.89,Critical,0.0154,False,loss_ratio
FLT-0007,2025-02-01,23.97,Low,0.1365,False,route_complexity
FLT-0007,2025-03-01,86.08,Critical,0.0715,False,loss_ratio
FLT-0007,2025-04-01,88.22,Critical,0.0314,False,loss_ratio
FLT-0007,2025-05-01,56.64,Medium,0.1205,False,loss_ratio
FLT-0007,2025-06-01,89.76,Critical,0.0054,False,loss_ratio
FLT-0007,2025-07-01,88.98,Critical,0.0608,False,loss_ratio
FLT-0007,2025-08-01,62.21,High,0.0946,False,loss_ratio
FLT-0007,2025-09-01,78.33,High,0.1085,False,loss_ratio
FLT-0007,2025-10-01,88.67,Critical,0.0746,False,loss_ratio
FLT-0007,2025-11-01,74.13,High,0.1099,False,loss_ratio
FLT-0007,2025-12-01,24.7,Low,0.1289,False,route_complexity
FLT-0008,2024-01-01,27.52,Low,0.1561,False,maintenance_gap
FLT-0008,2024-02-01,26.66,Low,0.1312,False,maintenance_gap
FLT-0008,2024-03-01,27.32,Low,0.1466,False,maintenance_gap
FLT-0008,2024-04-01,26.28,Low,0.1525,False,maintenance_gap
FLT-0008,2024-05-01,25.51,Low,0.1154,False,maintenance_gap
FLT-0008,2024-06-01,25.54,Low,0.1281,False,maintenance_gap
FLT-0008,2024-07-01,25.42,Low,0.127,False,maintenance_gap
FLT-0008,2024-08-01,26.9,Low,0.1346,False,maintenance_gap
FLT-0008,2024-09-01,26.94,Low,0.1181,False,maintenance_gap
FLT-0008,2024-10-01,25.75,Low,0.1465,False,maintenance_gap
FLT-0008,2024-11-01,26.39,Low,0.1361,False,maintenance_gap
FLT-0008,2024-12-01,26.16,Low,0.1244,False,maintenance_gap
FLT-0008,2025-01-01,71.48,High,0.0908,False,loss_ratio
FLT-0008,2025-02-01,26.63,Low,0.1415,False,maintenance_gap
FLT-0008,2025-03-01,27.57,Low,0.1289,False,maintenance_gap
FLT-0008,2025-04-01,86.71,Critical,0.0703,False,loss_ratio
FLT-0008,2025-05-01,66.98,High,0.0818,False,loss_ratio
FLT-0008,2025-06-01,66.03,High,0.0888,False,loss_ratio
FLT-0008,2025-07-01,55.83,Medium,0.085,False,loss_ratio
FLT-0008,2025-08-01,92.21,Critical,0.0165,False,loss_ratio
FLT-0008,2025-09-01,68.88,High,0.0813,False,loss_ratio
FLT-0008,2025-10-01,71.24,High,0.0813,False,loss_ratio
FLT-0008,2025-11-01,82.62,Critical,0.0512,False,loss_ratio
FLT-0008,2025-12-01,26.49,Low,0.1396,False,maintenance_gap
FLT-0009,2024-01-01,29.52,Low,0.1472,False,route_complexity
FLT-0009,2024-02-01,30.34,Low,0.142,False,route_complexity
FLT-0009,2024-03-01,30.96,Low,0.1005,False,route_complexity
FLT-0009,2024-04-01,30.25,Low,0.1308,False,route_complexity
FLT-0009,2024-05-01,30.09,Low,0.1459,False,route_complexity
FLT-0009,2024-06-01,30.15,Low,0.1397,False,route_complexity
FLT-0009,2024-07-01,30.92,Low,0.1507,False,route_complexity
FLT-0009,2024-08-01,29.59,Low,0.141,False,route_complexity
FLT-0009,2024-09-01,29.91,Low,0.1366,False,route_complexity
FLT-0009,2024-10-01,30.06,Low,0.1395,False,route_complexity
FLT-0009,2024-11-01,31.39,Low,0.111,False,route_complexity
FLT-0009,2024-12-01,29.48,Low,0.1504,False,route_complexity
FLT-0009,2025-01-01,88.86,Critical,0.1084,False,loss_ratio
FLT-0009,2025-02-01,58.33,Medium,0.096,False,route_complexity
FLT-0009,2025-03-01,30.08,Low,0.1107,False,route_complexity
FLT-0009,2025-04-01,88.53,Critical,0.103,False,loss_ratio
FLT-0009,2025-05-01,77.56,High,0.0905,False,loss_ratio
FLT-0009,2025-06-01,67.42,High,0.1122,False,loss_ratio
FLT-0009,2025-07-01,29.67,Low,0.1369,False,route_complexity
FLT-0009,2025-08-01,94.66,Critical,0.0272,False,loss_ratio
FLT-0009,2025-09-01,95.18,Critical,0.0878,False,loss_ratio
FLT-0009,2025-10-01,75.85,High,0.0786,False,loss_ratio
FLT-0009,2025-11-01,77.8,High,0.0864,False,loss_ratio
FLT-0009,2025-12-01,29.9,Low,0.0952,False,route_complexity
FLT-0010,2024-01-01,28.58,Low,0.1652,False,route_complexity
FLT-0010,2024-02-01,29.31,Low,0.1634,False,route_complexity
FLT-0010,2024-03-01,28.29,Low,0.1699,False,route_complexity
FLT-0010,2024-04-01,27.88,Low,0.1659,False,route_complexity
FLT-0010,2024-05-01,29.77,Low,0.1643,False,route_complexity
FLT-0010,2024-06-01,28.3,Low,0.1706,False,route_complexity
FLT-0010,2024-07-01,28.29,Low,0.1693,False,route_complexity
FLT-0010,2024-08-01,28.14,Low,0.1562,False,route_complexity
FLT-0010,2024-09-01,27.8,Low,0.163,False,route_complexity
FLT-0010,2024-10-01,28.21,Low,0.1573,False,route_complexity
FLT-0010,2024-11-01,28.14,Low,0.1726,False,route_complexity
FLT-0010,2024-12-01,27.81,Low,0.1721,False,route_complexity
FLT-0010,2025-01-01,90.25,Critical,0.1006,False,loss_ratio
FLT-0010,2025-02-01,92.29,Critical,0.0348,False,loss_ratio
FLT-0010,2025-03-01,89.43,Critical,0.1062,False,loss_ratio
FLT-0010,2025-04-01,92.09,Critical,0.0099,False,loss_ratio
FLT-0010,2025-05-01,92.46,Critical,0.0539,False,loss_ratio
FLT-0010,2025-06-01,92.75,Critical,0.0502,False,loss_ratio
FLT-0010,2025-07-01,90.94,Critical,0.0316,False,loss_ratio
FLT-0010,2025-08-01,89.88,Critical,0.1385,False,loss_ratio
FLT-0010,2025-09-01,88.86,Critical,0.1302,False,loss_ratio
FLT-0010,2025-10-01,90.11,Critical,0.1367,False,loss_ratio
FLT-0010,2025-11-01,27.44,Low,0.1785,False,route_complexity
FLT-0010,2025-12-01,28.34,Low,0.1537,False,route_complexity
FLT-0011,2024-01-01,21.9,Low,0.1156,False,maintenance_gap
FLT-0011,2024-02-01,21.2,Low,0.1315,False,maintenance_gap
FLT-0011,2024-03-01,22.04,Low,0.1444,False,maintenance_gap
FLT-0011,2024-04-01,21.93,Low,0.1094,False,maintenance_gap
FLT-0011,2024-05-01,22.41,Low,0.1406,False,maintenance_gap
FLT-0011,2024-06-01,21.83,Low,0.1441,False,maintenance_gap
FLT-0011,2024-07-01,23.25,Low,0.134,False,maintenance_gap
FLT-0011,2024-08-01,22.2,Low,0.1418,False,maintenance_gap
FLT-0011,2024-09-01,22.74,Low,0.1554,False,maintenance_gap
FLT-0011,2024-10-01,20.28,Low,0.1043,False,maintenance_gap
FLT-0011,2024-11-01,22.32,Low,0.1512,False,maintenance_gap
FLT-0011,2024-12-01,21.76,Low,0.1213,False,maintenance_gap
FLT-0011,2025-01-01,23.21,Low,0.145,False,maintenance_gap
FLT-0011,2025-02-01,42.07,Medium,0.1008,False,maintenance_gap
FLT-0011,2025-03-01,45.94,Medium,0.092,False,loss_ratio
FLT-0011,2025-04-01,22.29,Low,0.1346,False,maintenance_gap
FLT-0011,2025-05-01,55.74,Medium,0.1139,False,loss_ratio
FLT-0011,2025-06-01,62.93,High,0.0646,False,loss_ratio
FLT-0011,2025-07-01,21.66,Low,0.1405,False,maintenance_gap
FLT-0011,2025-08-01,20.72,Low,0.1263,False,maintenance_gap
FLT-0011,2025-09-01,50.08,Medium,0.0871,False,loss_ratio
FLT-0011,2025-10-01,22.85,Low,0.1247,False,maintenance_gap
FLT-0011,2025-11-01,45.45,Medium,0.1061,False,maintenance_gap
FLT-0011,2025-12-01,21.2,Low,0.1226,False,maintenance_gap
FLT-0012,2024-01-01,25.72,Low,0.1286,False,maintenance_gap
FLT-0012,2024-02-01,27.51,Low,0.1287,False,maintenance_gap
FLT-0012,2024-03-01,25.91,Low,0.1386,False,maintenance_gap
FLT-0012,2024-04-01,26.26,Low,0.1458,False,route_complexity
FLT-0012,2024-05-01,25.64,Low,0.1345,False,maintenance_gap
FLT-0012,2024-06-01,26.97,Low,0.1506,False,maintenance_gap
FLT-0012,2024-07-01,25.2,Low,0.1392,False,maintenance_gap
FLT-0012,2024-08-01,27.85,Low,0.1583,False,maintenance_gap
FLT-0012,2024-09-01,26.52,Low,0.1427,False,maintenance_gap
FLT-0012,2024-10-01,26.92,Low,0.1461,False,maintenance_gap
FLT-0012,2024-11-01,26.17,Low,0.147,False,maintenance_gap
FLT-0012,2024-12-01,26.15,Low,0.1211,False,maintenance_gap
FLT-0012,2025-01-01,27.59,Low,0.1558,False,route_complexity
FLT-0012,2025-02-01,72.02,High,0.0902,False,loss_ratio
FLT-0012,2025-03-01,92.36,Critical,-0.019,True,loss_ratio
FLT-0012,2025-04-01,60.19,High,0.1257,False,loss_ratio
FLT-0012,2025-05-01,68.92,High,0.1107,False,loss_ratio
FLT-0012,2025-06-01,26.15,Low,0.135,False,route_complexity
FLT-0012,2025-07-01,93.73,Critical,0.0209,False,loss_ratio
FLT-0012,2025-08-01,27.03,Low,0.1478,False,maintenance_gap
FLT-0012,2025-09-01,27.55,Low,0.1525,False,maintenance_gap
FLT-0012,2025-10-01,63.39,High,0.099,False,loss_ratio
FLT-0012,2025-11-01,25.43,Low,0.1229,False,maintenance_gap
FLT-0012,2025-12-01,25.57,Low,0.1201,False,maintenance_gap
FLT-0013,2024-01-01,26.92,Low,0.1725,False,route_complexity
FLT-0013,2024-02-01,27.07,Low,0.1818,False,route_complexity
FLT-0013,2024-03-01,28.76,Low,0.1713,False,route_complexity
FLT-0013,2024-04-01,27.84,Low,0.1765,False,route_complexity
FLT-0013,2024-05-01,27.82,Low,0.1299,False,route_complexity
FLT-0013,2024-06-01,27.84,Low,0.1769,False,route_complexity
FLT-0013,2024-07-01,26.96,Low,0.1701,False,route_complexity
FLT-0013,2024-08-01,27.35,Low,0.1679,False,route_complexity
FLT-0013,2024-09-01,26.76,Low,0.173,False,route_complexity
FLT-0013,2024-10-01,26.21,Low,0.1738,False,route_complexity
FLT-0013,2024-11-01,27.66,Low,0.1804,False,route_complexity
FLT-0013,2024-12-01,27.47,Low,0.1598,False,route_complexity
FLT-0013,2025-01-01,69.44,High,0.1408,False,loss_ratio
FLT-0013,2025-02-01,65.17,High,0.1283,False,loss_ratio
FLT-0013,2025-03-01,85.73,Critical,0.1091,False,loss_ratio
FLT-0013,2025-04-01,75.48,High,0.1288,False,loss_ratio
FLT-0013,2025-05-01,53.19,Medium,0.1471,False,route_complexity
FLT-0013,2025-06-01,57.71,Medium,0.1331,False,loss_ratio
FLT-0013,2025-07-01,82.21,Critical,0.1173,False,loss_ratio
FLT-0013,2025-08-01,53.12,Medium,0.159,False,route_complexity
FLT-0013,2025-09-01,91.87,Critical,0.1053,False,loss_ratio
FLT-0013,2025-10-01,94.86,Critical,0.0654,False,loss_ratio
FLT-0013,2025-11-01,27.72,Low,0.1768,False,route_complexity
FLT-0013,2025-12-01,27.99,Low,0.1803,False,route_complexity
FLT-0014,2024-01-01,29.78,Low,-0.0575,True,safety_program_gap
FLT-0014,2024-02-01,44.94,Medium,-0.1016,True,manual_override_rate
FLT-0014,2024-03-01,29.43,Low,-0.0125,True,manual_override_rate
FLT-0014,2024-04-01,24.81,Low,-0.011,True,safety_program_gap
FLT-0014,2024-05-01,18.28,Low,0.0573,False,safety_program_gap
FLT-0014,2024-06-01,33.39,Low,-0.0775,True,route_complexity
FLT-0014,2024-07-01,18.94,Low,0.0384,False,safety_program_gap
FLT-0014,2024-08-01,37.5,Medium,-0.0984,True,manual_override_rate
FLT-0014,2024-09-01,33.65,Low,-0.0781,True,safety_program_gap
FLT-0014,2024-10-01,33.77,Low,-0.0312,True,manual_override_rate
FLT-0014,2024-11-01,21.95,Low,0.0021,False,safety_program_gap
FLT-0014,2024-12-01,37.4,Medium,-0.0604,True,manual_override_rate
FLT-0014,2025-01-01,37.88,Medium,-0.0241,True,manual_override_rate
FLT-0014,2025-02-01,80.77,Critical,-0.0486,True,loss_ratio
FLT-0014,2025-03-01,90.63,Critical,-0.0825,True,loss_ratio
FLT-0014,2025-04-01,95.89,Critical,-0.0742,True,loss_ratio
FLT-0014,2025-05-01,30.44,Low,-0.0602,True,disengagement_rate
FLT-0014,2025-06-01,100.0,Critical,-0.0926,True,loss_ratio
FLT-0014,2025-07-01,30.16,Low,-0.0595,True,safety_program_gap
FLT-0014,2025-08-01,95.92,Critical,-0.0609,True,loss_ratio
FLT-0014,2025-09-01,53.77,Medium,0.0123,False,loss_ratio
FLT-0014,2025-10-01,29.63,Low,-0.0261,True,safety_program_gap
FLT-0014,2025-11-01,94.68,Critical,-0.03,True,loss_ratio
FLT-0014,2025-12-01,30.71,Low,-0.0428,True,route_complexity
FLT-0015,2024-01-01,31.52,Low,0.1289,False,route_complexity
FLT-0015,2024-02-01,33.47,Low,0.0661,False,route_complexity
FLT-0015,2024-03-01,32.51,Low,0.0957,False,route_complexity
FLT-0015,2024-04-01,30.97,Low,0.1334,False,route_complexity
FLT-0015,2024-05-01,32.43,Low,0.0927,False,route_complexity
FLT-0015,2024-06-01,31.88,Low,0.1068,False,route_complexity
FLT-0015,2024-07-01,33.39,Low,0.0865,False,route_complexity
FLT-0015,2024-08-01,32.13,Low,0.0996,False,route_complexity
FLT-0015,2024-09-01,30.71,Low,0.1225,False,route_complexity
FLT-0015,2024-10-01,32.27,Low,0.1204,False,route_complexity
FLT-0015,2024-11-01,33.48,Low,0.0907,False,route_complexity
FLT-0015,2024-12-01,32.46,Low,0.1052,False,route_complexity
FLT-0015,2025-01-01,32.07,Low,0.1221,False,route_complexity
FLT-0015,2025-02-01,97.56,Critical,0.0447,False,loss_ratio
FLT-0015,2025-03-01,60.69,High,0.0993,False,route_complexity
FLT-0015,2025-04-01,49.64,Medium,0.109,False,route_complexity
FLT-0015,2025-05-01,67.9,High,0.0728,False,loss_ratio
FLT-0015,2025-06-01,31.4,Low,0.1013,False,route_complexity
FLT-0015,2025-07-01,34.47,Low,0.0738,False,route_complexity
FLT-0015,2025-08-01,52.35,Medium,0.0855,False,route_complexity
FLT-0015,2025-09-01,30.77,Low,0.1193,False,route_complexity
FLT-0015,2025-10-01,71.64,High,0.088,False,loss_ratio
FLT-0015,2025-11-01,96.81,Critical,-0.0028,True,loss_ratio
FLT-0015,2025-12-01,34.56,Low,0.0677,False,route_complexity
FLT-0016,2024-01-01,24.7,Low,0.1424,False,safety_program_gap
FLT-0016,2024-02-01,24.36,Low,0.1395,False,safety_program_gap
FLT-0016,2024-03-01,23.48,Low,0.1329,False,safety_program_gap
FLT-0016,2024-04-01,25.41,Low,0.151,False,route_complexity
FLT-0016,2024-05-01,25.42,Low,0.1454,False,safety_program_gap
FLT-0016,2024-06-01,26.13,Low,0.1524,False,route_complexity
FLT-0016,2024-07-01,24.41,Low,0.1504,False,safety_program_gap
FLT-0016,2024-08-01,25.27,Low,0.1261,False,safety_program_gap
FLT-0016,2024-09-01,25.4,Low,0.1522,False,route_complexity
FLT-0016,2024-10-01,24.61,Low,0.1441,False,safety_program_gap
FLT-0016,2024-11-01,23.95,Low,0.1498,False,safety_program_gap
FLT-0016,2024-12-01,24.84,Low,0.1474,False,route_complexity
FLT-0016,2025-01-01,60.88,High,0.1124,False,loss_ratio
FLT-0016,2025-02-01,90.08,Critical,0.0733,False,loss_ratio
FLT-0016,2025-03-01,53.95,Medium,0.1179,False,loss_ratio
FLT-0016,2025-04-01,25.09,Low,0.1431,False,safety_program_gap
FLT-0016,2025-05-01,79.65,High,0.0908,False,loss_ratio
FLT-0016,2025-06-01,63.14,High,0.1025,False,loss_ratio
FLT-0016,2025-07-01,24.2,Low,0.1449,False,safety_program_gap
FLT-0016,2025-08-01,25.06,Low,0.1435,False,route_complexity
FLT-0016,2025-09-01,59.41,Medium,0.1055,False,loss_ratio
FLT-0016,2025-10-01,86.02,Critical,0.0611,False,loss_ratio
FLT-0016,2025-11-01,25.02,Low,0.1507,False,safety_program_gap
FLT-0016,2025-12-01,25.61,Low,0.1561,False,route_complexity
FLT-0017,2024-01-01,25.03,Low,0.1747,False,route_complexity
FLT-0017,2024-02-01,24.03,Low,0.1686,False,route_complexity
FLT-0017,2024-03-01,24.47,Low,0.1555,False,route_complexity
FLT-0017,2024-04-01,25.92,Low,0.1541,False,route_complexity
FLT-0017,2024-05-01,23.59,Low,0.1474,False,route_complexity
FLT-0017,2024-06-01,23.88,Low,0.1753,False,route_complexity
FLT-0017,2024-07-01,24.49,Low,0.1508,False,route_complexity
FLT-0017,2024-08-01,23.8,Low,0.1584,False,route_complexity
FLT-0017,2024-09-01,26.62,Low,0.1516,False,route_complexity
FLT-0017,2024-10-01,25.4,Low,0.1696,False,route_complexity
FLT-0017,2024-11-01,25.23,Low,0.1639,False,route_complexity
FLT-0017,2024-12-01,25.63,Low,0.1457,False,route_complexity
FLT-0017,2025-01-01,77.85,High,0.0975,False,loss_ratio
FLT-0017,2025-02-01,54.57,Medium,0.1202,False,loss_ratio
