claim_id,policy_id,vehicle_id,fleet_id,loss_date,report_date,claim_type,claim_status,paid_loss,reserve_amount,incurred_loss,litigation_flag,bodily_injury_flag,property_damage_flag,software_failure_flag,sensor_issue_flag,weather_condition,accident_severity,subrogation_recovery,claim_close_days,client_type,primary_state
CLM-000015,POL-0067,VEH-00026,FLT-0067,2025-10-15,2025-10-17,property_damage,open,32341.26,33476.46,65817.72,False,False,True,True,False,fog,minor,2585.96,49,rideshare,CA
CLM-000016,POL-0034,VEH-00141,FLT-0034,2025-08-30,2025-09-19,property_damage,open,11631.87,8855.0,20486.87,False,False,True,False,False,fog,moderate,4237.69,17,logistics,CO
CLM-000017,POL-0027,VEH-01013,FLT-0027,2025-10-16,2025-10-25,collision,closed,9310.15,2434.79,11744.94,False,True,True,False,False,wind,minor,1846.55,70,logistics,IL
CLM-000018,POL-0040,VEH-00995,FLT-0040,2025-03-15,2025-03-28,property_damage,open,14477.63,8709.73,23187.35,False,False,True,True,False,snow,major,0.0,176,autonomous_taxi,GA
CLM-000019,POL-0075,VEH-00923,FLT-0075,2025-01-11,2025-01-31,sensor_damage,subrogation,11968.37,2608.81,14577.17,False,False,False,False,False,wind,minor,4292.75,141,autonomous_taxi,NV
CLM-000020,POL-0010,VEH-01551,FLT-0010,2025-10-26,2025-10-28,comprehensive,closed,13656.8,3194.24,16851.05,False,True,True,False,False,fog,minor,1149.73,54,logistics,GA
CLM-000021,POL-0057,VEH-00768,FLT-0057,2025-08-19,2025-08-26,sensor_damage,closed,27833.19,14562.09,42395.28,False,False,True,False,False,clear,moderate,0.0,85,rideshare,CO
CLM-000022,POL-0006,VEH-01470,FLT-0006,2025-03-24,2025-03-24,collision,closed,5522.71,3383.55,8906.26,False,False,False,False,False,wind,severe,0.0,161,logistics,CO
CLM-000023,POL-0025,VEH-00622,FLT-0025,2025-10-01,2025-10-06,sensor_damage,litigation,5028.25,710.19,5738.44,False,False,True,False,False,rain,minor,917.7,115,rideshare,NV
CLM-000024,POL-0063,VEH-01609,FLT-0063,2025-03-21,2025-03-30,comprehensive,closed,6585.55,14576.98,21162.53,False,False,False,False,False,rain,severe,4758.06,101,rideshare,GA
CLM-000025,POL-0071,VEH-01308,FLT-0071,2025-02-24,2025-03-15,bodily_injury,closed,8151.43,7175.93,15327.37,False,False,True,False,False,snow,major,0.0,239,rideshare,NV
CLM-000026,POL-0062,VEH-00728,FLT-0062,2025-10-21,2025-11-10,sensor_damage,open,9102.94,6571.43,15674.37,False,False,False,False,False,snow,minor,2395.44,217,delivery,CA
CLM-000027,POL-0072,VEH-01282,FLT-0072,2025-09-12,2025-09-16,property_damage,closed,10607.91,16716.23,27324.13,False,False,True,False,False,rain,moderate,3715.93,88,delivery,AZ
CLM-000028,POL-0045,VEH-01690,FLT-0045,2025-11-01,2025-11-05,collision,subrogation,61085.33,3459.23,64544.55,False,False,False,False,False,wind,minor,5495.43,238,rideshare,CO
CLM-000029,POL-0045,VEH-00030,FLT-0045,2025-01-27,2025-02-01,comprehensive,closed,10709.61,7733.58,18443.19,False,False,True,True,False,snow,moderate,0.0,146,rideshare,CO
CLM-000030,POL-0055,VEH-00462,FLT-0055,2025-02-12,2025-02-16,property_damage,open,10212.53,714.67,10927.2,False,False,True,False,False,snow,minor,0.0,227,rideshare,CO
CLM-000031,POL-0077,VEH-00775,FLT-0077,2025-06-11,2025-06-23,sensor_damage,closed,12759.52,18257.52,31017.05,False,False,False,False,False,clear,minor,1442.79,136,rideshare,AZ
CLM-000032,POL-0007,VEH-00464,FLT-0007,2025-10-04,2025-10-06,property_damage,closed,15965.65,24651.19,40616.84,False,False,True,False,False,snow,minor,0.0,176,autonomous_taxi,TX
CLM-000033,POL-0062,VEH-00663,FLT-0062,2025-05-24,2025-05-25,property_damage,closed,5438.72,6368.36,11807.08,False,False,True,False,False,snow,minor,2000.88,224,delivery,CA
CLM-000034,POL-0027,VEH-01254,FLT-0027,2025-05-06,2025-05-10,bodily_injury,closed,4073.01,1520.31,5593.32,True,False,True,True,True,fog,minor,2897.62,79,logistics,IL
CLM-000035,POL-0050,VEH-00119,FLT-0050,2025-09-11,2025-09-28,property_damage,closed,52936.55,9514.3,62450.85,True,False,True,False,False,rain,moderate,0.0,226,rideshare,NV
CLM-000036,POL-0026,VEH-01579,FLT-0026,2025-03-19,2025-03-29,sensor_damage,closed,20747.6,12588.98,33336.57,False,True,True,False,False,snow,minor,1770.01,181,delivery,IL
CLM-000037,POL-0003,VEH-00873,FLT-0003,2025-01-19,2025-01-19,collision,open,22781.31,3427.17,26208.48,False,True,False,True,False,fog,minor,6190.03,217,logistics,FL
CLM-000038,POL-0035,VEH-01750,FLT-0035,2025-05-24,2025-06-11,comprehensive,closed,17905.76,4888.81,22794.57,False,False,True,False,False,fog,minor,0.0,174,logistics,GA
CLM-000039,POL-0025,VEH-01498,FLT-0025,2025-08-02,2025-08-21,sensor_damage,open,13133.89,5017.72,18151.62,False,False,True,False,False,fog,minor,2728.77,123,rideshare,NV
CLM-000040,POL-0045,VEH-00434,FLT-0045,2025-03-19,2025-04-07,bodily_injury,closed,30998.3,11630.98,42629.29,False,False,True,False,False,wind,major,1957.57,149,rideshare,CO
CLM-000041,POL-0074,VEH-00143,FLT-0074,2025-02-13,2025-02-17,comprehensive,closed,10934.21,2388.58,13322.79,False,False,True,False,False,clear,minor,3169.35,54,mixed_mobility,NY
CLM-000042,POL-0050,VEH-00701,FLT-0050,2025-11-05,2025-11-16,bodily_injury,closed,17835.74,1431.61,19267.36,False,False,True,False,True,wind,minor,673.92,89,rideshare,NV
CLM-000043,POL-0013,VEH-01742,FLT-0013,2025-03-18,2025-03-19,bodily_injury,closed,17732.79,4325.64,22058.43,False,False,True,False,False,fog,severe,0.0,120,rideshare,GA
CLM-000044,POL-0074,VEH-00500,FLT-0074,2025-08-14,2025-08-22,collision,subrogation,9260.42,4147.21,13407.63,False,False,False,False,False,clear,major,3845.94,139,mixed_mobility,NY
CLM-000045,POL-0016,VEH-01232,FLT-0016,2025-06-17,2025-06-21,property_damage,closed,27758.24,24231.37,51989.6,False,False,True,False,False,clear,moderate,0.0,24,autonomous_taxi,CO
CLM-000046,POL-0037,VEH-00962,FLT-0037,2025-11-01,2025-11-17,sensor_damage,closed,14222.68,21971.69,36194.37,False,False,False,False,False,clear,minor,0.0,85,delivery,CA
CLM-000047,POL-0070,VEH-01624,FLT-0070,2025-10-15,2025-10-21,bodily_injury,subrogation,11231.75,15229.8,26461.55,False,True,False,True,False,fog,minor,1907.83,103,mixed_mobility,WA
CLM-000048,POL-0052,VEH-00329,FLT-0052,2025-05-31,2025-06-14,bodily_injury,closed,17133.3,1477.79,18611.09,False,False,True,False,False,wind,moderate,0.0,124,autonomous_taxi,AZ
CLM-000049,POL-0041,VEH-01626,FLT-0041,2025-11-18,2025-12-07,collision,litigation,12149.0,15110.98,27259.98,False,False,True,False,False,clear,minor,1448.2,59,mixed_mobility,NV
CLM-000050,POL-0075,VEH-00799,FLT-0075,2025-05-31,2025-06-02,comprehensive,closed,10633.13,4096.66,14729.79,False,False,True,False,False,rain,minor,3034.62,188,autonomous_taxi,NV
CLM-000051,POL-0049,VEH-01753,FLT-0049,2025-09-13,2025-09-13,sensor_damage,open,29649.61,18752.05,48401.66,False,False,True,False,False,snow,minor,3321.62,200,rideshare,FL
CLM-000052,POL-0055,VEH-00218,FLT-0055,2025-04-09,2025-04-24,bodily_injury,closed,33113.86,15612.85,48726.7,False,True,True,False,True,wind,minor,2561.48,97,rideshare,CO
CLM-000053,POL-0062,VEH-01661,FLT-0062,2025-06-28,2025-07-01,comprehensive,closed,6285.67,11493.03,17778.7,False,False,True,False,False,clear,moderate,2682.08,95,delivery,CA
CLM-000054,POL-0025,VEH-00937,FLT-0025,2025-09-04,2025-09-21,collision,open,35928.33,37486.16,73414.49,False,False,True,False,False,rain,moderate,0.0,176,rideshare,NV
CLM-000055,POL-0077,VEH-01417,FLT-0077,2025-07-21,2025-07-23,sensor_damage,closed,44406.8,3595.54,48002.34,False,False,True,False,False,wind,minor,0.0,45,rideshare,AZ
CLM-000056,POL-0052,VEH-00806,FLT-0052,2025-06-10,2025-06-15,bodily_injury,closed,6158.45,6213.33,12371.78,False,False,False,False,False,rain,severe,4473.17,193,autonomous_taxi,AZ
CLM-000057,POL-0071,VEH-00971,FLT-0071,2025-09-22,2025-10-12,property_damage,closed,6008.9,7898.97,13907.86,False,False,True,False,False,wind,major,0.0,228,rideshare,NV
CLM-000058,POL-0023,VEH-01915,FLT-0023,2025-09-04,2025-09-14,collision,closed,48956.56,9819.79,58776.35,False,False,True,False,False,clear,moderate,0.0,160,autonomous_taxi,AZ
CLM-000059,POL-0007,VEH-01851,FLT-0007,2025-08-30,2025-09-15,sensor_damage,open,5844.44,13286.13,19130.57,False,False,True,False,False,clear,minor,2781.25,98,autonomous_taxi,TX
CLM-000060,POL-0030,VEH-01364,FLT-0030,2025-01-11,2025-01-24,property_damage,open,7623.94,7144.99,14768.94,False,True,True,False,False,snow,moderate,0.0,213,autonomous_taxi,IL
CLM-000061,POL-0050,VEH-01802,FLT-0050,2025-03-05,2025-03-25,property_damage,closed,19239.71,5256.69,24496.39,True,False,True,False,False,wind,moderate,1.51,31,rideshare,NV
CLM-000062,POL-0013,VEH-00796,FLT-0013,2025-07-09,2025-07-23,property_damage,closed,20556.88,12544.94,33101.83,True,True,True,False,False,snow,minor,2737.87,136,rideshare,GA
CLM-000063,POL-0072,VEH-00938,FLT-0072,2025-05-18,2025-06-07,comprehensive,closed,9204.94,6199.4,15404.34,False,False,True,False,False,snow,major,699.67,164,delivery,AZ
CLM-000064,POL-0041,VEH-01476,FLT-0041,2025-05-13,2025-05-13,comprehensive,closed,7776.32,12390.54,20166.87,False,False,False,False,False,rain,moderate,0.0,235,mixed_mobility,NV
CLM-000065,POL-0018,VEH-01149,FLT-0018,2025-02-20,2025-03-12,sensor_damage,closed,21015.92,22669.47,43685.39,False,False,True,False,False,wind,major,0.0,127,delivery,TX
CLM-000066,POL-0058,VEH-00084,FLT-0058,2025-03-24,2025-04-13,collision,open,15643.85,16703.77,32347.63,False,False,True,False,False,fog,major,0.0,48,mixed_mobility,CA
CLM-000067,POL-0021,VEH-00984,FLT-0021,2025-06-10,2025-06-26,sensor_damage,closed,26876.47,8262.76,35139.23,False,False,True,False,False,wind,major,2298.96,223,mixed_mobility,TX
CLM-000068,POL-0004,VEH-00300,FLT-0004,2025-04-03,2025-04-15,sensor_damage,open,4243.31,3897.83,8141.14,False,False,False,False,False,rain,moderate,3186.51,163,mixed_mobility,FL
CLM-000069,POL-0074,VEH-00272,FLT-0074,2025-04-20,2025-05-02,collision,closed,1677.54,3150.67,4828.21,False,False,True,False,False,fog,minor,2301.34,137,mixed_mobility,NY
CLM-000070,POL-0028,VEH-00801,FLT-0028,2025-01-28,2025-02-12,comprehensive,closed,17014.43,19927.89,36942.32,False,False,True,False,False,rain,minor,3257.77,137,rideshare,FL
CLM-000071,POL-0014,VEH-00922,FLT-0014,2025-08-30,2025-09-05,property_damage,open,41846.55,12469.51,54316.06,False,False,False,False,False,rain,moderate,2208.99,143,rideshare,TX
CLM-000072,POL-0022,VEH-01751,FLT-0022,2025-05-20,2025-05-26,comprehensive,open,2616.91,1643.28,4260.18,False,False,True,False,True,rain,minor,2417.07,154,delivery,IL
CLM-000073,POL-0030,VEH-00760,FLT-0030,2025-08-03,2025-08-21,bodily_injury,closed,1009.28,868.63,1877.91,False,True,False,False,False,clear,minor,7846.44,61,autonomous_taxi,IL
CLM-000074,POL-0031,VEH-00824,FLT-0031,2025-06-30,2025-06-30,comprehensive,litigation,6893.77,2548.03,9441.8,False,False,True,False,False,rain,minor,3453.08,164,mixed_mobility,NV
CLM-000075,POL-0055,VEH-00462,FLT-0055,2025-04-30,2025-05-01,sensor_damage,open,56242.19,11959.27,68201.46,False,False,True,False,False,snow,major,4468.67,216,rideshare,CO
CLM-000076,POL-0068,VEH-00704,FLT-0068,2025-08-11,2025-08-24,bodily_injury,closed,46969.52,15742.96,62712.48,False,False,False,False,False,fog,minor,2118.48,111,mixed_mobility,TX
CLM-000077,POL-0034,VEH-01864,FLT-0034,2025-10-31,2025-11-17,comprehensive,subrogation,9976.21,11628.98,21605.19,False,False,True,False,False,clear,minor,1982.57,42,logistics,CO
CLM-000078,POL-0042,VEH-01906,FLT-0042,2025-04-16,2025-04-25,collision,open,26666.12,7092.99,33759.11,False,False,False,False,False,snow,minor,1504.3,150,logistics,IL
CLM-000079,POL-0040,VEH-01442,FLT-0040,2025-02-26,2025-03-15,sensor_damage,closed,30566.52,9523.12,40089.64,False,False,False,False,False,wind,moderate,1321.3,146,autonomous_taxi,GA
CLM-000080,POL-0079,VEH-00757,FLT-0079,2025-11-14,2025-11-23,comprehensive,closed,13280.51,1885.4,15165.91,False,False,True,False,False,clear,minor,3570.12,95,delivery,GA
CLM-000081,POL-0001,VEH-01323,FLT-0001,2025-01-20,2025-02-03,comprehensive,closed,2495.21,1880.7,4375.91,True,False,True,False,False,wind,moderate,1441.72,170,logistics,CO
CLM-000082,POL-0031,VEH-00780,FLT-0031,2025-07-29,2025-08-05,comprehensive,open,12639.56,8225.16,20864.72,True,False,True,False,False,fog,major,1095.83,132,mixed_mobility,NV
CLM-000083,POL-0008,VEH-00680,FLT-0008,2025-06-22,2025-06-27,bodily_injury,subrogation,6759.4,13098.94,19858.34,False,False,True,False,False,rain,minor,3316.53,202,logistics,FL
CLM-000084,POL-0053,VEH-01688,FLT-0053,2025-06-10,2025-06-19,sensor_damage,closed,29037.09,4224.98,33262.07,False,False,True,False,False,snow,minor,0.0,71,autonomous_taxi,CO
CLM-000085,POL-0077,VEH-00214,FLT-0077,2025-02-22,2025-03-04,property_damage,closed,5998.69,3169.56,9168.25,False,False,True,False,True,rain,minor,2804.86,41,rideshare,AZ
CLM-000086,POL-0080,VEH-00414,FLT-0080,2025-04-26,2025-05-10,comprehensive,closed,1944.18,1212.7,3156.87,False,False,False,False,False,clear,minor,0.0,35,delivery,IL
CLM-000087,POL-0023,VEH-00112,FLT-0023,2025-01-18,2025-01-26,collision,closed,12301.92,23626.24,35928.16,False,False,True,False,False,clear,minor,0.0,33,autonomous_taxi,AZ
CLM-000088,POL-0060,VEH-01813,FLT-0060,2025-05-09,2025-05-09,property_damage,closed,298.04,233.19,531.24,False,False,True,False,False,clear,minor,0.0,233,logistics,GA
CLM-000089,POL-0055,VEH-00886,FLT-0055,2025-10-29,2025-11-04,bodily_injury,closed,27827.53,10445.0,38272.53,False,False,True,False,False,wind,major,0.0,194,rideshare,CO
CLM-000090,POL-0050,VEH-00735,FLT-0050,2025-08-26,2025-09-13,sensor_damage,subrogation,30728.07,18228.44,48956.51,False,False,True,False,False,clear,moderate,0.0,145,rideshare,NV
CLM-000091,POL-0051,VEH-01223,FLT-0051,2025-03-30,2025-04-01,collision,closed,28121.86,3706.94,31828.8,False,False,True,False,False,rain,minor,2199.43,51,autonomous_taxi,AZ
CLM-000092,POL-0001,VEH-00678,FLT-0001,2025-10-13,2025-10-28,sensor_damage,open,7718.84,9273.67,16992.51,True,True,False,False,False,rain,moderate,1803.54,141,logistics,CO
CLM-000093,POL-0049,VEH-00634,FLT-0049,2025-03-11,2025-03-15,bodily_injury,litigation,19413.94,18313.49,37727.43,False,False,True,True,False,snow,minor,0.0,77,rideshare,FL
CLM-000094,POL-0050,VEH-00377,FLT-0050,2025-04-26,2025-05-09,comprehensive,closed,36132.53,5192.2,41324.72,False,False,True,False,False,snow,major,0.0,37,rideshare,NV
CLM-000095,POL-0027,VEH-00777,FLT-0027,2025-08-19,2025-08-29,property_damage,litigation,20483.97,5068.84,25552.81,False,False,True,True,True,fog,minor,0.0,89,logistics,IL
CLM-000096,POL-0026,VEH-00220,FLT-0026,2025-02-05,2025-02-07,sensor_damage,subrogation,10852.32,15546.2,26398.52,False,False,True,False,True,clear,minor,0.0,38,delivery,IL
CLM-000097,POL-0006,VEH-00535,FLT-0006,2025-06-27,2025-07-07,comprehensive,closed,10220.37,9581.95,19802.32,False,False,True,False,True,wind,minor,735.98,93,logistics,CO
CLM-000098,POL-0004,VEH-01114,FLT-0004,2025-09-13,2025-10-01,comprehensive,closed,29690.57,4950.63,34641.21,False,False,False,False,False,fog,moderate,0.0,79,mixed_mobility,FL
CLM-000099,POL-0018,VEH-01272,FLT-0018,2025-08-16,2025-08-28,comprehensive,open,20578.43,45635.99,66214.42,False,True,True,False,False,wind,major,0.0,178,delivery,TX
CLM-000100,POL-0033,VEH-01129,FLT-0033,2025-01-28,2025-02-02,bodily_injury,closed,27031.78,3325.13,30356.91,False,False,False,False,False,rain,minor,0.0,102,rideshare,IL
CLM-000101,POL-0053,VEH-00273,FLT-0053,2025-04-01,2025-04-16,bodily_injury,open,33275.71,14746.56,48022.27,False,False,True,False,False,wind,severe,0.0,198,autonomous_taxi,CO
CLM-000102,POL-0019,VEH-00105,FLT-0019,2025-03-06,2025-03-07,comprehensive,litigation,23067.46,1361.87,24429.34,False,False,True,False,False,rain,moderate,2450.52,21,autonomous_taxi,NV
CLM-000103,POL-0032,VEH-01500,FLT-0032,2025-04-28,2025-05-05,collision,open,53526.56,9327.81,62854.37,False,False,True,True,True,rain,moderate,0.0,105,logistics,CO
CLM-000104,POL-0002,VEH-01615,FLT-0002,2025-01-17,2025-01-26,sensor_damage,closed,19401.61,27716.74,47118.35,False,True,False,False,False,clear,moderate,0.0,136,rideshare,GA
CLM-000105,POL-0066,VEH-01657,FLT-0066,2025-07-19,2025-08-02,comprehensive,open,54227.8,5727.9,59955.7,False,False,True,False,False,rain,minor,0.0,189,delivery,NY
CLM-000106,POL-0006,VEH-00038,FLT-0006,2025-08-16,2025-08-30,property_damage,closed,18082.67,3249.5,21332.17,True,True,True,False,True,fog,minor,0.0,150,logistics,CO
CLM-000107,POL-0042,VEH-00175,FLT-0042,2025-10-02,2025-10-21,comprehensive,closed,19860.59,1289.93,21150.51,False,False,True,False,True,rain,moderate,0.0,96,logistics,IL
CLM-000108,POL-0008,VEH-01503,FLT-0008,2025-10-07,2025-10-11,property_damage,closed,13182.1,2825.15,16007.26,False,False,False,True,False,clear,minor,3976.46,184,logistics,FL
CLM-000109,POL-0004,VEH-01428,FLT-0004,2025-04-19,2025-04-28,property_damage,closed,8501.13,1102.36,9603.49,False,False,True,False,True,clear,moderate,3363.49,17,mixed_mobility,FL
CLM-000110,POL-0080,VEH-00616,FLT-0080,2025-05-06,2025-05-18,sensor_damage,open,11047.39,3817.49,14864.87,False,True,True,False,False,clear,minor,2572.03,194,delivery,IL
CLM-000111,POL-0008,VEH-00791,FLT-0008,2025-08-25,2025-09-02,bodily_injury,open,16969.35,9132.35,26101.7,False,False,True,False,False,wind,moderate,2829.84,214,logistics,FL
CLM-000112,POL-0049,VEH-01094,FLT-0049,2025-01-10,2025-01-26,sensor_damage,closed,46013.97,6672.27,52686.24,False,True,True,False,True,rain,minor,2473.52,177,rideshare,FL
CLM-000113,POL-0014,VEH-00922,FLT-0014,2025-08-19,2025-08-29,sensor_damage,open,14458.3,3581.27,18039.57,False,False,False,False,False,fog,minor,0.0,196,rideshare,TX
CLM-000114,POL-0018,VEH-00474,FLT-0018,2025-01-05,2025-01-07,collision,closed,6936.49,7704.56,14641.05,False,False,True,False,False,clear,minor,5540.87,182,delivery,TX
CLM-000115,POL-0019,VEH-01026,FLT-0019,2025-05-22,2025-05-24,comprehensive,closed,15930.01,12767.13,28697.14,False,False,False,False,False,fog,major,784.1,107,autonomous_taxi,NV
CLM-000116,POL-0040,VEH-01801,FLT-0040,2025-01-11,2025-01-23,comprehensive,closed,3596.06,8271.14,11867.2,False,False,True,True,False,wind,minor,363.36,104,autonomous_taxi,GA
CLM-000117,POL-0068,VEH-00389,FLT-0068,2025-11-16,2025-11-27,comprehensive,litigation,22330.06,4429.42,26759.48,False,False,True,False,False,wind,minor,434.1,71,mixed_mobility,TX
CLM-000118,POL-0039,VEH-01979,FLT-0039,2025-03-16,2025-03-24,property_damage,closed,38385.2,9826.05,48211.25,False,False,True,True,False,rain,minor,0.0,34,logistics,FL
CLM-000119,POL-0073,VEH-00829,FLT-0073,2025-05-07,2025-05-12,bodily_injury,closed,17577.51,1484.96,19062.47,False,False,True,True,True,rain,minor,4626.98,14,autonomous_taxi,CO
CLM-000120,POL-0049,VEH-00278,FLT-0049,2025-01-30,2025-02-06,sensor_damage,closed,5862.45,6409.95,12272.41,False,False,False,False,False,wind,moderate,0.0,84,rideshare,FL
CLM-000121,POL-0061,VEH-00906,FLT-0061,2025-01-19,2025-02-03,collision,closed,9637.2,2984.99,12622.19,False,False,True,False,True,wind,major,0.0,190,autonomous_taxi,AZ
CLM-000122,POL-0050,VEH-01168,FLT-0050,2025-10-26,2025-11-14,property_damage,open,12403.66,9884.82,22288.48,False,False,True,False,False,snow,minor,0.0,101,rideshare,NV
CLM-000123,POL-0020,VEH-00406,FLT-0020,2025-02-10,2025-02-27,sensor_damage,litigation,27728.21,41662.97,69391.18,False,True,True,False,False,rain,minor,6497.53,35,rideshare,IL
CLM-000124,POL-0060,VEH-01262,FLT-0060,2025-01-30,2025-02-13,comprehensive,closed,14158.45,3776.42,17934.86,False,False,True,False,False,snow,minor,2979.34,67,logistics,GA
CLM-000125,POL-0009,VEH-01574,FLT-0009,2025-01-17,2025-02-01,property_damage,closed,34219.38,3353.57,37572.95,False,True,True,False,False,rain,minor,724.15,231,delivery,AZ
CLM-000126,POL-0050,VEH-01654,FLT-0050,2025-07-03,2025-07-23,collision,open,2328.13,398.78,2726.92,False,False,True,False,False,snow,major,1418.54,44,rideshare,NV
CLM-000127,POL-0023,VEH-00349,FLT-0023,2025-05-06,2025-05-14,collision,closed,21890.01,8134.24,30024.25,False,False,True,False,False,snow,minor,3836.02,107,autonomous_taxi,AZ
CLM-000128,POL-0002,VEH-00665,FLT-0002,2025-07-29,2025-08-05,property_damage,closed,5716.13,5411.82,11127.94,False,False,True,False,False,clear,moderate,5021.34,208,rideshare,GA
CLM-000129,POL-0065,VEH-00347,FLT-0065,2025-10-18,2025-10-27,bodily_injury,closed,50912.94,5835.05,56747.99,False,False,False,False,False,snow,moderate,1720.12,85,mixed_mobility,GA
CLM-000130,POL-0033,VEH-00021,FLT-0033,2025-08-20,2025-08-27,bodily_injury,closed,15613.68,16334.88,31948.56,False,False,True,True,False,wind,minor,154.27,12,rideshare,IL
CLM-000131,POL-0079,VEH-00809,FLT-0079,2025-03-25,2025-04-04,collision,closed,11877.78,17145.67,29023.45,False,False,True,False,False,wind,moderate,1880.0,183,delivery,GA
CLM-000132,POL-0071,VEH-01866,FLT-0071,2025-06-19,2025-07-07,bodily_injury,open,6692.04,13392.81,20084.85,False,False,True,False,False,rain,minor,2547.05,231,rideshare,NV
CLM-000133,POL-0015,VEH-00009,FLT-0015,2025-02-19,2025-03-09,comprehensive,subrogation,5888.54,5689.48,11578.02,False,True,False,False,False,rain,moderate,0.0,78,delivery,CA
CLM-000134,POL-0045,VEH-01412,FLT-0045,2025-10-25,2025-11-12,property_damage,closed,16059.92,11693.85,27753.77,False,False,True,False,False,snow,minor,1725.79,148,rideshare,CO
CLM-000135,POL-0050,VEH-00581,FLT-0050,2025-07-04,2025-07-15,bodily_injury,open,15186.59,11192.59,26379.18,False,False,False,False,True,wind,minor,3489.8,122,rideshare,NV
CLM-000136,POL-0069,VEH-01098,FLT-0069,2025-05-04,2025-05-05,sensor_damage,closed,16483.94,9713.31,26197.25,False,False,True,False,False,fog,moderate,0.0,188,mixed_mobility,NY
CLM-000137,POL-0061,VEH-01140,FLT-0061,2025-02-18,2025-03-06,collision,closed,3023.56,2117.27,5140.83,False,False,True,False,False,wind,minor,1546.27,67,autonomous_taxi,AZ
CLM-000138,POL-0021,VEH-01233,FLT-0021,2025-06-16,2025-06-23,collision,open,6180.99,2772.73,8953.72,False,False,False,False,False,wind,minor,0.0,73,mixed_mobility,TX
CLM-000139,POL-0001,VEH-01076,FLT-0001,2025-03-22,2025-03-29,sensor_damage,litigation,5068.45,5099.96,10168.41,False,False,True,False,False,snow,minor,0.0,67,logistics,CO
CLM-000140,POL-0020,VEH-00756,FLT-0020,2025-11-10,2025-11-13,sensor_damage,closed,21982.04,13514.12,35496.16,False,False,True,False,False,clear,major,0.0,107,rideshare,IL
CLM-000141,POL-0042,VEH-00260,FLT-0042,2025-11-06,2025-11-13,collision,closed,7503.72,3524.13,11027.86,False,True,True,False,False,clear,minor,8083.27,87,logistics,IL
CLM-000142,POL-0040,VEH-01148,FLT-0040,2025-05-15,2025-05-29,property_damage,closed,4559.38,398.88,4958.26,False,False,True,False,False,clear,moderate,4579.53,123,autonomous_taxi,GA
