vehicle_id,fleet_id,make,model,model_year,autonomy_level,sensor_vendor,software_version,lidar_enabled,camera_enabled,radar_enabled,vehicle_utilization_rate,last_maintenance_date,maintenance_score
VEH-00018,FLT-0005,MetroMotion,Urban,2019,4,Northstar Sensors,2.4.1,True,True,True,0.602,2025-07-12,75.72
VEH-00019,FLT-0019,Aster,Urban,2021,2,Metro Lidar,3.8.15,False,True,True,0.949,2025-07-22,85.91
VEH-00020,FLT-0029,MetroMotion,LX,2021,1,Northstar Sensors,6.3.4,False,True,False,0.851,2025-09-21,59.75
VEH-00021,FLT-0033,MetroMotion,LX,2019,3,ClearPath Systems,4.1.2,True,True,True,0.772,2025-07-30,71.94
VEH-00022,FLT-0068,Vector,FleetPro,2019,0,Metro Lidar,2.7.0,False,True,False,0.886,2025-11-20,42.51
VEH-00023,FLT-0031,Aster,Auton,2023,0,Northstar Sensors,5.4.1,False,True,True,0.854,2025-10-09,99.35
VEH-00024,FLT-0043,Helio,Urban,2021,5,Northstar Sensors,3.1.0,True,True,True,0.802,2025-07-15,80.7
VEH-00025,FLT-0023,MetroMotion,FleetPro,2021,4,Synthetic Vision,6.4.7,True,True,True,0.926,2025-12-03,64.58
VEH-00026,FLT-0067,Aster,LX,2021,3,Synthetic Vision,6.2.3,False,True,True,0.334,2025-11-12,93.89
VEH-00027,FLT-0001,Vector,Sense,2019,3,ClearPath Systems,6.4.10,True,True,True,0.952,2025-09-24,91.2
VEH-00028,FLT-0066,Nova,FleetPro,2024,3,Northstar Sensors,6.9.13,False,True,True,0.493,2025-10-28,91.92
VEH-00029,FLT-0053,Aster,Sense,2023,4,Metro Lidar,6.2.4,True,True,True,0.704,2025-07-18,65.16
VEH-00030,FLT-0045,Nova,Urban,2025,4,Northstar Sensors,3.4.15,True,True,True,0.699,2025-12-04,97.02
VEH-00031,FLT-0013,Helio,Urban,2021,5,Synthetic Vision,5.4.6,True,True,True,0.586,2025-09-02,85.08
VEH-00032,FLT-0043,MetroMotion,LX,2019,5,Synthetic Vision,6.8.11,True,True,True,0.884,2025-12-19,79.74
VEH-00033,FLT-0061,Aster,Urban,2021,5,Metro Lidar,5.3.14,True,True,True,0.649,2025-08-19,60.51
VEH-00034,FLT-0048,Helio,Auton,2021,4,ClearPath Systems,2.6.8,True,True,True,0.562,2025-10-28,81.2
VEH-00035,FLT-0067,Nova,Sense,2019,1,Synthetic Vision,5.6.6,False,True,False,0.39,2025-12-23,88.9
VEH-00036,FLT-0076,Helio,Urban,2025,5,Synthetic Vision,2.1.17,True,True,True,0.451,2025-11-08,54.39
VEH-00037,FLT-0074,Helio,Urban,2025,3,Synthetic Vision,4.7.15,True,True,True,0.431,2025-07-13,88.78
VEH-00038,FLT-0006,Helio,Auton,2022,4,ClearPath Systems,4.6.10,True,True,True,0.871,2025-12-22,95.16
VEH-00039,FLT-0030,Aster,Auton,2024,4,Metro Lidar,3.3.17,True,True,True,0.699,2025-09-22,47.07
VEH-00040,FLT-0065,MetroMotion,Auton,2025,1,Metro Lidar,3.8.18,False,True,True,0.793,2025-07-08,88.86
VEH-00041,FLT-0009,Helio,FleetPro,2023,4,Northstar Sensors,5.6.12,True,True,True,0.666,2025-11-06,57.1
VEH-00042,FLT-0023,Helio,Auton,2021,3,Metro Lidar,4.1.7,True,True,True,0.816,2025-12-25,66.54
VEH-00043,FLT-0019,Helio,Sense,2023,1,Northstar Sensors,2.3.9,False,True,False,0.359,2025-07-05,100.0
VEH-00044,FLT-0033,Vector,Auton,2021,3,Metro Lidar,5.0.18,True,True,True,0.442,2025-12-02,69.36
VEH-00045,FLT-0018,MetroMotion,LX,2023,1,Metro Lidar,4.1.3,False,True,True,0.606,2025-10-13,100.0
VEH-00046,FLT-0064,Aster,Auton,2019,5,Metro Lidar,2.5.2,True,True,True,0.943,2025-12-10,90.74
VEH-00047,FLT-0024,Aster,FleetPro,2020,3,Northstar Sensors,3.6.15,True,True,True,0.841,2025-10-26,75.5
VEH-00048,FLT-0075,Nova,Urban,2020,3,Synthetic Vision,5.8.3,True,True,True,0.352,2025-10-02,59.62
VEH-00049,FLT-0074,Nova,LX,2021,1,Synthetic Vision,3.0.10,False,True,False,0.56,2025-12-17,87.16
VEH-00050,FLT-0008,Nova,Sense,2024,1,Metro Lidar,3.1.0,False,True,True,0.834,2025-12-01,51.02
VEH-00051,FLT-0037,Aster,LX,2021,4,ClearPath Systems,4.7.11,True,True,True,0.608,2025-11-11,72.86
VEH-00052,FLT-0058,Nova,Urban,2021,0,Northstar Sensors,5.2.12,False,False,False,0.375,2025-08-17,59.32
VEH-00053,FLT-0004,Aster,Urban,2023,5,Metro Lidar,6.1.19,True,True,True,0.529,2025-09-03,56.38
VEH-00054,FLT-0077,Vector,Auton,2022,4,Northstar Sensors,5.2.9,True,True,True,0.772,2025-09-03,46.07
VEH-00055,FLT-0060,Nova,Auton,2021,4,Synthetic Vision,4.0.10,True,True,True,0.595,2025-12-18,86.84
VEH-00056,FLT-0024,Nova,Sense,2019,3,Metro Lidar,3.5.3,True,True,True,0.621,2025-10-20,71.82
VEH-00057,FLT-0037,Helio,Sense,2024,3,Northstar Sensors,3.0.0,True,True,True,0.709,2025-11-19,77.12
VEH-00058,FLT-0068,Aster,FleetPro,2024,1,ClearPath Systems,6.9.9,False,True,False,0.666,2025-12-16,42.85
VEH-00059,FLT-0025,Aster,Urban,2025,2,Northstar Sensors,4.2.2,False,True,True,0.375,2025-10-14,87.73
VEH-00060,FLT-0053,Aster,Urban,2021,5,ClearPath Systems,3.0.10,True,True,True,0.683,2025-10-25,61.99
VEH-00061,FLT-0065,Aster,Auton,2023,3,Northstar Sensors,5.1.1,True,True,True,0.337,2025-12-06,97.36
VEH-00062,FLT-0078,Aster,Auton,2023,3,Synthetic Vision,2.9.8,True,True,True,0.48,2025-12-19,70.86
VEH-00063,FLT-0007,Vector,Auton,2025,1,Northstar Sensors,6.9.6,False,True,True,0.939,2025-09-30,81.71
VEH-00064,FLT-0065,Helio,FleetPro,2022,2,Northstar Sensors,5.3.4,False,True,True,0.323,2025-11-23,97.03
VEH-00065,FLT-0003,MetroMotion,Urban,2023,4,ClearPath Systems,4.4.16,True,True,True,0.912,2025-09-07,71.67
VEH-00066,FLT-0062,Nova,FleetPro,2025,3,Synthetic Vision,3.4.5,True,True,True,0.478,2025-09-02,70.49
VEH-00067,FLT-0006,MetroMotion,LX,2021,4,Northstar Sensors,4.7.19,True,True,True,0.649,2025-10-19,87.91
VEH-00068,FLT-0043,MetroMotion,Auton,2025,5,Metro Lidar,2.5.2,False,True,True,0.921,2025-08-31,79.24
VEH-00069,FLT-0009,Vector,FleetPro,2025,5,Northstar Sensors,5.0.18,True,True,True,0.269,2025-08-29,66.54
VEH-00070,FLT-0013,Nova,FleetPro,2020,5,ClearPath Systems,4.0.11,True,True,True,0.874,2025-08-11,95.86
VEH-00071,FLT-0069,Aster,Urban,2023,4,Northstar Sensors,4.7.2,True,True,True,0.935,2025-10-01,67.9
VEH-00072,FLT-0064,Vector,LX,2025,5,Synthetic Vision,6.8.11,True,True,True,0.826,2025-10-22,87.33
VEH-00073,FLT-0020,Helio,Auton,2024,5,Synthetic Vision,6.4.18,True,True,True,0.334,2025-10-23,92.22
VEH-00074,FLT-0018,Aster,Urban,2023,2,ClearPath Systems,5.8.1,False,True,True,0.62,2025-12-22,86.29
VEH-00075,FLT-0035,MetroMotion,LX,2023,2,Synthetic Vision,2.3.15,False,True,True,0.278,2025-09-09,86.87
VEH-00076,FLT-0077,Vector,Urban,2022,3,Northstar Sensors,4.1.9,True,True,True,0.923,2025-10-27,54.86
VEH-00077,FLT-0018,MetroMotion,Auton,2020,2,Northstar Sensors,4.6.19,False,True,True,0.7,2025-07-27,91.1
VEH-00078,FLT-0011,Nova,LX,2020,2,Synthetic Vision,3.9.9,False,True,True,0.279,2025-07-12,57.9
VEH-00079,FLT-0044,MetroMotion,Auton,2021,0,Northstar Sensors,3.9.15,False,False,False,0.843,2025-08-02,55.03
VEH-00080,FLT-0058,Aster,Auton,2025,0,Synthetic Vision,5.3.15,False,False,True,0.471,2025-10-10,49.53
VEH-00081,FLT-0042,Aster,Auton,2020,3,Northstar Sensors,5.8.2,True,True,True,0.943,2025-08-25,91.11
VEH-00082,FLT-0029,Helio,LX,2025,1,Metro Lidar,3.5.7,False,True,True,0.94,2025-09-22,74.16
VEH-00083,FLT-0062,MetroMotion,FleetPro,2025,3,ClearPath Systems,3.3.3,True,True,True,0.305,2025-10-19,67.42
VEH-00084,FLT-0058,Aster,Auton,2024,0,Synthetic Vision,2.0.6,False,True,True,0.405,2025-11-29,50.91
VEH-00085,FLT-0054,Vector,Auton,2019,1,Northstar Sensors,4.0.7,False,True,False,0.389,2025-11-30,70.24
VEH-00086,FLT-0030,Nova,FleetPro,2023,5,Synthetic Vision,5.2.10,True,True,True,0.864,2025-08-08,61.24
VEH-00087,FLT-0011,Aster,LX,2022,2,Northstar Sensors,4.4.12,False,True,True,0.519,2025-07-14,61.51
VEH-00088,FLT-0010,MetroMotion,LX,2023,4,ClearPath Systems,2.6.3,True,True,True,0.412,2025-08-31,73.25
VEH-00089,FLT-0073,Helio,Auton,2024,1,Northstar Sensors,6.1.11,False,True,True,0.611,2025-09-30,83.29
VEH-00090,FLT-0023,Aster,FleetPro,2022,5,ClearPath Systems,6.4.19,True,True,True,0.412,2025-12-15,55.41
VEH-00091,FLT-0049,MetroMotion,Auton,2019,4,ClearPath Systems,4.8.5,False,True,True,0.834,2025-10-04,56.53
VEH-00092,FLT-0060,Vector,FleetPro,2022,5,Synthetic Vision,2.8.15,True,True,True,0.72,2025-09-07,94.4
VEH-00093,FLT-0075,Helio,Urban,2023,4,ClearPath Systems,5.8.7,True,True,True,0.576,2025-09-29,49.08
VEH-00094,FLT-0048,Nova,LX,2021,4,Northstar Sensors,3.6.2,True,True,True,0.444,2025-08-18,95.85
VEH-00095,FLT-0008,Vector,LX,2020,3,Northstar Sensors,3.2.6,True,True,True,0.79,2025-09-25,58.3
VEH-00096,FLT-0067,Helio,Urban,2024,1,ClearPath Systems,6.1.7,False,True,False,0.34,2025-11-09,88.05
VEH-00097,FLT-0067,Aster,LX,2021,2,ClearPath Systems,3.7.11,False,True,True,0.829,2025-08-18,84.14
VEH-00098,FLT-0036,Nova,Urban,2021,1,ClearPath Systems,2.1.4,False,True,True,0.421,2025-10-06,88.66
VEH-00099,FLT-0014,Aster,Urban,2021,0,Northstar Sensors,2.4.14,False,True,False,0.792,2025-11-03,90.33
VEH-00100,FLT-0030,Helio,Sense,2019,4,Metro Lidar,5.9.9,True,True,True,0.895,2025-09-10,49.44
VEH-00101,FLT-0029,Helio,LX,2023,0,Northstar Sensors,4.4.9,False,True,True,0.642,2025-10-01,57.43
VEH-00102,FLT-0080,Helio,Urban,2020,1,Metro Lidar,2.8.15,False,True,True,0.882,2025-07-05,62.65
VEH-00103,FLT-0011,Helio,Urban,2024,2,Synthetic Vision,5.9.8,False,True,True,0.645,2025-10-27,66.89
VEH-00104,FLT-0018,Nova,LX,2024,0,Northstar Sensors,5.9.15,False,True,True,0.386,2025-10-17,100.0
VEH-00105,FLT-0019,Vector,Urban,2025,3,Metro Lidar,5.1.5,True,True,True,0.417,2025-08-30,89.25
VEH-00106,FLT-0028,MetroMotion,Urban,2019,2,ClearPath Systems,6.4.13,False,True,True,0.801,2025-11-12,59.92
VEH-00107,FLT-0047,Helio,Auton,2024,1,Northstar Sensors,5.0.11,False,True,True,0.277,2025-09-18,88.53
VEH-00108,FLT-0072,Helio,Auton,2024,0,Northstar Sensors,2.3.6,False,True,False,0.389,2025-08-18,93.81
VEH-00109,FLT-0035,Helio,Auton,2022,2,Synthetic Vision,5.6.2,False,True,True,0.542,2025-07-07,82.35
VEH-00110,FLT-0020,Aster,Urban,2025,5,Synthetic Vision,2.7.19,True,True,True,0.392,2025-12-09,84.4
VEH-00111,FLT-0033,Nova,Urban,2020,3,Metro Lidar,3.9.10,True,True,True,0.445,2025-08-08,68.29
VEH-00112,FLT-0023,Aster,Auton,2022,3,ClearPath Systems,6.2.8,True,True,True,0.275,2025-07-31,60.46
VEH-00113,FLT-0063,MetroMotion,Sense,2020,2,Northstar Sensors,3.9.12,False,True,True,0.852,2025-07-31,98.44
VEH-00114,FLT-0042,Vector,Auton,2022,2,ClearPath Systems,2.6.10,False,True,True,0.341,2025-08-16,90.26
VEH-00115,FLT-0013,Aster,Sense,2025,5,ClearPath Systems,2.8.3,True,True,True,0.833,2025-09-25,64.94
VEH-00116,FLT-0034,Vector,Urban,2021,4,Synthetic Vision,5.5.10,True,True,True,0.809,2025-09-16,85.87
VEH-00117,FLT-0064,Helio,Sense,2021,4,Synthetic Vision,3.5.15,True,True,True,0.932,2025-11-24,87.31
VEH-00118,FLT-0066,Aster,Auton,2021,4,ClearPath Systems,3.6.13,True,True,True,0.317,2025-10-05,96.88
VEH-00119,FLT-0050,Aster,Urban,2022,4,Metro Lidar,5.3.12,True,True,True,0.464,2025-07-08,79.51
VEH-00120,FLT-0017,Nova,Sense,2021,3,Synthetic Vision,6.8.18,True,True,True,0.755,2025-12-22,83.9
VEH-00121,FLT-0049,MetroMotion,LX,2022,5,ClearPath Systems,6.8.15,True,True,True,0.921,2025-12-21,53.53
VEH-00122,FLT-0029,MetroMotion,Urban,2022,0,Metro Lidar,3.7.14,False,True,True,0.803,2025-07-25,82.2
VEH-00123,FLT-0064,MetroMotion,LX,2021,4,Metro Lidar,4.7.2,True,True,True,0.627,2025-09-06,95.37
VEH-00124,FLT-0010,Aster,Sense,2021,4,Northstar Sensors,2.8.16,True,True,True,0.661,2025-08-06,67.88
VEH-00125,FLT-0022,Aster,Auton,2023,5,Metro Lidar,6.3.16,True,True,True,0.314,2025-11-27,73.43
VEH-00126,FLT-0031,Aster,Auton,2019,0,Northstar Sensors,2.1.10,False,True,True,0.698,2025-08-04,88.66
VEH-00127,FLT-0025,MetroMotion,FleetPro,2025,2,Synthetic Vision,4.4.14,False,True,True,0.582,2025-10-27,87.12
VEH-00128,FLT-0034,Helio,Urban,2021,5,Northstar Sensors,5.2.15,True,True,True,0.737,2025-08-01,84.0
VEH-00129,FLT-0071,Vector,Sense,2020,2,ClearPath Systems,5.2.9,False,True,True,0.896,2025-08-28,69.76
VEH-00130,FLT-0079,Nova,Urban,2021,3,Synthetic Vision,3.6.8,True,True,True,0.346,2025-09-11,65.28
VEH-00131,FLT-0050,MetroMotion,Sense,2023,3,Northstar Sensors,5.4.1,True,True,True,0.408,2025-10-16,74.68
VEH-00132,FLT-0067,Helio,Urban,2024,2,Metro Lidar,4.5.0,False,True,True,0.586,2025-08-15,100.0
VEH-00133,FLT-0007,Helio,Auton,2025,1,ClearPath Systems,6.5.12,False,True,True,0.301,2025-09-12,81.77
VEH-00134,FLT-0054,MetroMotion,Auton,2021,0,ClearPath Systems,4.4.19,False,True,False,0.404,2025-07-11,53.77
VEH-00135,FLT-0047,Helio,FleetPro,2021,0,Metro Lidar,4.7.14,False,True,False,0.918,2025-12-21,77.1
VEH-00136,FLT-0033,Aster,Urban,2021,3,Synthetic Vision,3.4.5,True,True,True,0.893,2025-08-16,68.59
VEH-00137,FLT-0013,MetroMotion,Auton,2021,5,Metro Lidar,6.2.14,True,True,True,0.437,2025-11-06,78.61
VEH-00138,FLT-0061,Aster,Auton,2019,5,Synthetic Vision,3.6.14,True,True,True,0.395,2025-07-29,59.65
VEH-00139,FLT-0054,Nova,Urban,2025,1,ClearPath Systems,3.9.8,False,True,True,0.817,2025-07-07,65.78
VEH-00140,FLT-0004,Helio,FleetPro,2019,4,Synthetic Vision,2.5.11,True,True,True,0.782,2025-09-06,50.07
VEH-00141,FLT-0034,MetroMotion,LX,2022,5,Northstar Sensors,4.8.19,True,True,True,0.789,2025-10-09,81.59
VEH-00142,FLT-0015,Vector,Urban,2019,2,Northstar Sensors,3.6.17,False,True,True,0.296,2025-11-08,77.18
VEH-00143,FLT-0074,Vector,LX,2019,2,Metro Lidar,2.1.10,False,True,True,0.566,2025-09-11,81.22
VEH-00144,FLT-0031,MetroMotion,Auton,2023,0,Metro Lidar,2.0.10,False,True,True,0.357,2025-11-25,95.4
VEH-00145,FLT-0065,Aster,Sense,2020,2,Synthetic Vision,6.9.17,False,True,True,0.463,2025-10-01,100.0
VEH-00146,FLT-0062,Helio,Urban,2024,3,Northstar Sensors,2.3.9,False,True,True,0.562,2025-08-24,66.94
VEH-00147,FLT-0020,Helio,Sense,2022,5,Metro Lidar,3.7.0,True,True,True,0.678,2025-12-09,71.5
VEH-00148,FLT-0015,Vector,Urban,2023,2,ClearPath Systems,2.4.1,False,True,True,0.835,2025-11-26,69.97
VEH-00149,FLT-0035,Helio,Auton,2022,1,Northstar Sensors,3.9.10,False,True,False,0.792,2025-07-13,76.81
VEH-00150,FLT-0016,Nova,Auton,2020,4,Synthetic Vision,5.0.1,True,True,True,0.686,2025-07-31,86.18
VEH-00151,FLT-0052,MetroMotion,LX,2023,4,Synthetic Vision,5.0.14,True,True,True,0.585,2025-08-21,80.28
VEH-00152,FLT-0044,Vector,Auton,2019,0,Synthetic Vision,2.3.19,False,True,True,0.919,2025-11-26,60.82
VEH-00153,FLT-0008,Vector,Auton,2023,1,ClearPath Systems,2.8.15,False,True,True,0.908,2025-11-14,53.52
VEH-00154,FLT-0008,Helio,Auton,2022,2,Northstar Sensors,4.0.13,False,True,True,0.491,2025-08-31,46.76
VEH-00155,FLT-0034,Helio,Sense,2019,5,ClearPath Systems,4.3.0,True,True,True,0.848,2025-08-01,95.78
VEH-00156,FLT-0065,Nova,Sense,2020,3,Northstar Sensors,3.8.13,True,True,True,0.358,2025-10-02,82.95
VEH-00157,FLT-0011,MetroMotion,Urban,2022,1,Northstar Sensors,3.4.13,False,True,True,0.449,2025-10-15,63.76
VEH-00158,FLT-0055,Nova,Urban,2021,4,Synthetic Vision,5.1.8,True,True,True,0.574,2025-12-24,69.07
VEH-00159,FLT-0062,Aster,Urban,2024,4,Synthetic Vision,3.5.2,True,True,True,0.495,2025-12-23,59.43
VEH-00160,FLT-0060,Aster,Sense,2024,3,Metro Lidar,3.0.19,True,True,True,0.452,2025-09-12,89.79
VEH-00161,FLT-0041,Nova,Auton,2025,4,Metro Lidar,5.0.7,True,True,True,0.354,2025-10-10,68.99
VEH-00162,FLT-0008,Aster,LX,2019,3,ClearPath Systems,2.8.10,True,True,True,0.944,2025-10-31,57.47
VEH-00163,FLT-0002,Nova,LX,2024,1,Metro Lidar,6.2.15,False,True,False,0.551,2025-09-29,56.47
VEH-00164,FLT-0059,Vector,Auton,2025,3,ClearPath Systems,6.5.14,True,True,True,0.448,2025-07-29,63.03
VEH-00165,FLT-0070,Nova,FleetPro,2025,5,Metro Lidar,3.1.14,False,True,True,0.528,2025-11-04,69.68
VEH-00166,FLT-0058,MetroMotion,LX,2022,0,Synthetic Vision,3.2.10,False,True,True,0.581,2025-10-25,42.54
VEH-00167,FLT-0009,Aster,FleetPro,2020,5,Northstar Sensors,2.9.8,False,True,True,0.601,2025-10-28,66.29
VEH-00168,FLT-0077,Helio,Sense,2021,2,Northstar Sensors,3.8.18,False,True,True,0.681,2025-07-16,48.75
VEH-00169,FLT-0034,Helio,Auton,2022,5,ClearPath Systems,4.1.2,True,True,True,0.376,2025-09-27,96.17
VEH-00170,FLT-0028,Aster,Auton,2023,0,ClearPath Systems,3.0.18,False,True,False,0.273,2025-12-08,53.51
VEH-00171,FLT-0022,Vector,Urban,2021,3,ClearPath Systems,6.3.6,True,True,True,0.268,2025-10-30,75.13
VEH-00172,FLT-0024,MetroMotion,Auton,2021,4,Metro Lidar,2.5.15,True,True,True,0.799,2025-09-24,82.43
VEH-00173,FLT-0059,MetroMotion,Auton,2020,4,ClearPath Systems,2.7.14,True,True,True,0.91,2025-08-07,68.58
VEH-00174,FLT-0075,MetroMotion,Sense,2019,4,Northstar Sensors,3.6.2,True,True,True,0.817,2025-12-21,68.88
VEH-00175,FLT-0042,Nova,LX,2024,4,ClearPath Systems,6.4.17,True,True,True,0.438,2025-12-19,91.71
VEH-00176,FLT-0069,Aster,Auton,2020,4,ClearPath Systems,6.8.18,True,True,True,0.607,2025-10-13,73.27
VEH-00177,FLT-0038,Nova,FleetPro,2019,4,Northstar Sensors,5.3.12,True,True,True,0.835,2025-09-18,82.93
VEH-00178,FLT-0054,Aster,Sense,2022,1,Metro Lidar,4.8.3,False,True,True,0.371,2025-12-02,67.61
VEH-00179,FLT-0025,Nova,Urban,2020,2,Metro Lidar,6.1.7,False,True,True,0.762,2025-09-19,83.59
VEH-00180,FLT-0027,Aster,Auton,2019,4,Northstar Sensors,4.5.5,True,True,True,0.334,2025-11-11,47.63
VEH-00181,FLT-0021,Nova,LX,2020,2,ClearPath Systems,2.5.6,False,True,True,0.564,2025-08-23,89.2
VEH-00182,FLT-0058,Helio,Auton,2024,0,ClearPath Systems,3.8.5,False,True,False,0.331,2025-10-03,40.23
VEH-00183,FLT-0053,Nova,Urban,2021,5,ClearPath Systems,5.4.14,True,True,True,0.888,2025-10-15,65.77
VEH-00184,FLT-0039,Helio,LX,2023,4,Northstar Sensors,2.6.2,True,True,True,0.317,2025-10-28,58.39
VEH-00185,FLT-0072,MetroMotion,Auton,2022,0,Northstar Sensors,6.3.18,False,True,False,0.293,2025-10-23,90.01
VEH-00186,FLT-0044,Helio,Urban,2020,0,Northstar Sensors,5.2.6,False,True,False,0.629,2025-09-08,50.53
VEH-00187,FLT-0002,Nova,FleetPro,2020,2,Metro Lidar,3.5.2,False,True,True,0.814,2025-07-20,57.41
VEH-00188,FLT-0057,Vector,Sense,2022,1,Metro Lidar,6.4.0,False,True,True,0.34,2025-12-10,57.02
VEH-00189,FLT-0003,Aster,Sense,2024,4,Metro Lidar,4.6.18,True,True,True,0.848,2025-09-10,65.17
VEH-00190,FLT-0004,Aster,FleetPro,2023,3,Northstar Sensors,2.8.15,True,True,True,0.384,2025-09-04,47.36
VEH-00191,FLT-0057,Nova,Urban,2023,1,Northstar Sensors,4.8.14,False,True,False,0.458,2025-08-15,65.55
VEH-00192,FLT-0014,MetroMotion,Sense,2020,0,ClearPath Systems,5.2.13,False,True,False,0.253,2025-12-20,100.0
VEH-00193,FLT-0080,Nova,Sense,2020,3,ClearPath Systems,3.4.17,True,True,True,0.62,2025-10-11,58.5
VEH-00194,FLT-0024,Helio,Auton,2023,3,Metro Lidar,6.0.7,True,True,True,0.5,2025-10-20,86.59
VEH-00195,FLT-0022,Aster,Sense,2024,3,ClearPath Systems,5.9.16,False,True,True,0.536,2025-12-21,89.57
VEH-00196,FLT-0024,Nova,Auton,2021,3,Northstar Sensors,2.1.2,True,True,True,0.662,2025-09-17,81.15
VEH-00197,FLT-0026,Nova,LX,2024,5,ClearPath Systems,2.6.4,True,True,True,0.653,2025-07-28,59.16
VEH-00198,FLT-0026,Helio,LX,2022,3,Synthetic Vision,6.2.0,False,True,True,0.862,2025-08-22,64.97
VEH-00199,FLT-0007,Nova,LX,2025,0,Northstar Sensors,4.8.14,False,True,True,0.815,2025-11-15,94.65
VEH-00200,FLT-0003,Vector,Auton,2021,4,Northstar Sensors,4.8.18,True,True,True,0.879,2025-12-17,76.34
VEH-00201,FLT-0074,Helio,Urban,2024,2,ClearPath Systems,2.3.6,False,True,True,0.578,2025-09-26,97.61
VEH-00202,FLT-0056,Helio,Urban,2025,4,ClearPath Systems,2.1.16,True,True,True,0.345,2025-07-27,67.24
VEH-00203,FLT-0078,Aster,Urban,2022,3,Northstar Sensors,4.0.2,True,True,True,0.951,2025-12-18,80.74
VEH-00204,FLT-0027,Aster,LX,2024,4,Synthetic Vision,3.7.16,False,True,True,0.673,2025-10-25,48.37
VEH-00205,FLT-0078,Nova,LX,2022,2,Northstar Sensors,3.5.12,False,True,True,0.813,2025-09-13,74.64
VEH-00206,FLT-0038,Nova,Auton,2020,5,Northstar Sensors,4.5.14,True,True,True,0.912,2025-11-04,93.23
VEH-00207,FLT-0073,MetroMotion,FleetPro,2020,3,Synthetic Vision,6.4.6,True,True,True,0.625,2025-12-08,80.19
VEH-00208,FLT-0069,Helio,LX,2019,5,Northstar Sensors,5.7.16,True,True,True,0.765,2025-12-10,82.46
VEH-00209,FLT-0005,Vector,Sense,2020,4,Metro Lidar,2.8.17,True,True,True,0.479,2025-08-23,94.22
VEH-00210,FLT-0016,Aster,FleetPro,2020,4,Synthetic Vision,4.4.13,True,True,True,0.364,2025-08-16,78.87
VEH-00211,FLT-0056,Nova,FleetPro,2024,4,Synthetic Vision,2.0.9,True,True,True,0.665,2025-10-17,57.12
VEH-00212,FLT-0050,Aster,Sense,2020,3,Metro Lidar,5.6.18,True,True,True,0.322,2025-09-23,83.14
VEH-00213,FLT-0068,Vector,Auton,2022,0,Synthetic Vision,3.0.7,False,True,True,0.837,2025-09-14,60.95
VEH-00214,FLT-0077,Nova,Urban,2024,3,ClearPath Systems,6.8.0,True,True,True,0.511,2025-08-22,49.92
VEH-00215,FLT-0063,Nova,LX,2020,1,ClearPath Systems,6.9.7,False,True,False,0.325,2025-09-29,94.5
VEH-00216,FLT-0003,Vector,Urban,2024,5,Metro Lidar,6.8.11,True,True,True,0.931,2025-12-07,74.8
VEH-00217,FLT-0016,Vector,Auton,2025,2,Metro Lidar,5.5.19,False,True,True,0.4,2025-09-21,96.23
